Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
142,1999,2016,17,Hallertau,2,0,Notprune,1,5,1,1,0,0
143,1999,2016,17,Hallertau,2,1,Chemical,1,5,1,1,0.00125,0
144,2012,2016,4,Sterling,3,0,Notprune,1,5,1,1,0,0
145,2002,2016,14,Fuggle,1,0,Chemical,1,5,1,0,0,0
146,2013,2016,3,SorachiAce,3,0,Chemical,1,5,1,1,0,0
147,2016,2017,1,Mosaic,1,0,Chemical,1,1,0,0,0,1
148,2016,2017,1,Crystal,0,0,Chemical,1,3,1,0,0,1
149,2008,2017,9,Centennial,3,0,Chemical,1,3,1,1,0,0
150,2016,2017,1,Centennial,3,0,Mow_chem,1,1,0,1,0,1
151,2015,2017,2,Crystal,0,0,Chemical,1,1,0,0,0,0
152,2006,2017,11,Millennium,4,0,Mow_chem,1,2,0,1,0,0
153,2011,2017,6,Magnum,4,0,Mow_chem,1,1,0,1,0,0
154,2015,2017,2,Tahoma,3,0,Chemical,1,3,1,1,0,0
155,2013,2017,4,Cascade,1,0,Mow_chem,1,2,0,0,0,0
156,NA,2014,NA,Crystal,0,0,Chemical,1,1,0,0,0,0
157,2013,2014,1,Bravo,4,0,Chemical,1,2,0,1,0,1
158,2008,2014,6,OrganicF,1,0,Chemical,1,4,1,0,0,0
159,2013,2014,1,Chinook,4,0,Chemical,1,3,1,1,0,1
160,2013,2014,1,Apollo,5,0,Chemical,1,2,0,1,0,1
161,2014,2014,0,Nugget,4,0,Chemical,1,2,0,1,0,0
162,2006,2014,8,Nugget,4,0,Mechanic,0,5,1,1,0,0
163,2006,2014,8,Nugget,4,0,Chemical,1,4,1,1,0,0
164,2012,2014,2,Sterling,3,1,Chemical,1,4,1,1,0.005,0
165,2013,2014,1,Magnum,4,1,Notprune,1,5,1,1,0.05,1
166,2014,2015,1,Golding,4,0,Mechanic,0,1,0,1,0,1
167,2014,2015,1,Chinook,4,0,Mechanic,0,1,0,1,0,1
168,2014,2015,1,Mt.Hood,2,0,Mechanic,0,1,0,1,0,1
169,1992,2015,23,Nugget,4,0,Mechanic,0,2,0,1,0,0
170,1992,2015,23,Nugget,4,0,Mechanic,0,1,0,1,0,0
171,1992,2015,23,Nugget,4,0,Mechanic,0,2,0,1,0,0
172,2014,2015,1,Willamette,3,0,Chemical,1,2,0,1,0,1
